Sequence  | Length  | Host                          | OpId                                                        | Address         | OpName        | OpSig                                                                           | Data| Operation
0         | 67      | intrinsics/dinx               | vbitblend_(v128x8u,v128x8u,v128x8u)                         | 7ff7c83d74a0h   | vbitblend     | Vector128<byte> vbitblend(Vector128<byte> x, Vector128<byte> y, Vector128<byte> mask)| c5 f8 77 66 90 c5 f9 10 02 c5 f8 28 c8 c4 c1 79 10 10 c5 f1 ef ca c4 c1 79 10 11 c5 f1 db ca c5 f9 ef c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
239       | 179     | intrinsics/dinx               | vcompact_(v256x32i,n128,16i)                                | 7ff7c83dd040h   | vcompact      | Vector128<short> vcompact(Vector256<int> src, N128 w, short t)                  | c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 7d 19 c9 00 c4 e3 7d 19 c0 01 c5 f1 6b c0 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 38 2a 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e2 7d 23 c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 90 2a 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c1 00 c4 e2 7d 23 c9 c4 e3 7d 19 c0 01 c4 e2 7d 23 c0 c5 fd 11 09 c5 fd 11 41 20 48 8b c1 c5 f8 77 c3 cc cc cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
240       | 115     | intrinsics/dinx               | vinflate_(v128x16i,n256,32i)                                | 7ff7c83dd080h   | vinflate      | Vector256<int> vinflate(Vector128<short> src, N256 w, int t)                    | c5 f8 77 66 90 c5 f9 10 02 c4 e2 7d 23 c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 90 2a 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c1 00 c4 e2 7d 23 c9 c4 e3 7d 19 c0 01 c4 e2 7d 23 c0 c5 fd 11 09 c5 fd 11 41 20 48 8b c1 c5 f8 77 c3 cc cc cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
241       | 67      | intrinsics/dinx               | vinflate_(v256x16i,n512,32i)                                | 7ff7c83dd0b0h   | vinflate      | Vector512<int> vinflate(Vector256<short> src, N512 w, int t)                    | c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c1 00 c4 e2 7d 23 c9 c4 e3 7d 19 c0 01 c4 e2 7d 23 c0 c5 fd 11 09 c5 fd 11 41 20 48 8b c1 c5 f8 77 c3 cc cc cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
242       | 83      | intrinsics/dinx               | vcompact_(v128x32u,v128x32u,n128,16u)                       | 7ff7c83dd100h   | vcompact      | Vector128<ushort> vcompact(Vector128<uint> x, Vector128<uint> y, N128 w, ushort t)| 50 c5 f8 77 90 c5 f9 10 02 c4 c1 79 10 08 c7 44 24 04 ff ff 00 00 48 8d 44 24 04 c4 e2 79 58 54 24 04 c5 f9 db c2 c5 f1 db ca c4 e2 79 2b c1 c5 f9 11 01 48 8b c1 48 83 c4 08 c3 cc cc cc cc 00 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
243       | 99      | intrinsics/dinx               | vcompact_(v256x32u,n128,16u)                                | 7ff7c83dd160h   | vcompact      | Vector128<ushort> vcompact(Vector256<uint> src, N128 w, ushort t)               | 50 c5 f8 77 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 7d 19 c9 00 c4 e3 7d 19 c0 01 c7 44 24 04 ff ff 00 00 48 8d 44 24 04 c4 e2 79 58 54 24 04 c5 f1 db ca c5 f9 db c2 c4 e2 71 2b c0 c5 f9 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3 cc cc cc cc cc 00 00 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
244       | 259     | intrinsics/dinx               | vcompact_(v256x32u,n64,64u)                                 | 7ff7c83dd1d0h   | vcompact      | ulong vcompact(Vector256<uint> src, N64 w, ulong t)                             | 50 c5 f8 77 90 c5 fd 10 01 c4 e3 7d 19 c1 00 c4 e3 7d 19 c0 01 c7 44 24 04 ff ff 00 00 48 8d 44 24 04 c4 e2 79 58 54 24 04 c5 f1 db ca c5 f9 db c2 c4 e2 71 2b c0 c5 f0 57 c9 c7 04 24 ff 00 00 00 48 8d 04 24 c4 e2 79 79 14 24 c5 f9 db c2 c5 f1 db ca c5 f9 67 c1 c4 e1 f9 7e c0 c5 f8 77 48 83 c4 08 c3 cc cc cc cc cc cc cc 00 19 01 01 00 01 02 00 00 40 00 00 00 f0 2b 47 c8 f7 7f 00 00 50 c5 f8 77 90 c5 fd 10 02 c4 e3 7d 19 c1 00 c4 e3 7d 19 c0 01 c7 44 24 04 ff ff 00 00 48 8d 44 24 04 c4 e2 79 58 54 24 04 c5 f1 db ca c5 f9 db c2 c4 e2 71 2b c0 c5 f0 57 c9 c7 04 24 ff 00 00 00 48 8d 04 24 c4 e2 79 79 14 24 c5 f9 db c2 c5 f1 db ca c5 f9 67 c1 c5 f9 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3 cc cc cc cc cc cc cc cc 00 00 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
245       | 131     | intrinsics/dinx               | vcompact_(v256x32u,n128,8u)                                 | 7ff7c83dd250h   | vcompact      | Vector128<byte> vcompact(Vector256<uint> src, N128 w, byte t)                   | 50 c5 f8 77 90 c5 fd 10 02 c4 e3 7d 19 c1 00 c4 e3 7d 19 c0 01 c7 44 24 04 ff ff 00 00 48 8d 44 24 04 c4 e2 79 58 54 24 04 c5 f1 db ca c5 f9 db c2 c4 e2 71 2b c0 c5 f0 57 c9 c7 04 24 ff 00 00 00 48 8d 04 24 c4 e2 79 79 14 24 c5 f9 db c2 c5 f1 db ca c5 f9 67 c1 c5 f9 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3 cc cc cc cc cc cc cc cc 00 00 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
246       | 211     | intrinsics/dinx               | vcompact_(v256x32u,v256x32u,n256,16u)                       | 7ff7c83dd2e0h   | vcompact      | Vector256<ushort> vcompact(Vector256<uint> x, Vector256<uint> y, N256 w, ushort t)| 50 c5 f8 77 90 c5 fd 10 02 c4 c1 7d 10 08 c7 44 24 04 ff ff 00 00 48 8d 44 24 04 c4 e2 7d 58 54 24 04 c5 fd db c2 c5 f5 db ca c4 e2 7d 2b c1 c4 e3 fd 00 c0 d8 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3 cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 a8 2c 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e2 7d 33 c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 2d 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c1 00 c4 e2 7d 33 c9 c4 e3 7d 19 c0 01 c4 e2 7d 33 c0 c5 fd 11 09 c5 fd 11 41 20 48 8b c1 c5 f8 77 c3 cc cc cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
247       | 115     | intrinsics/dinx               | vinflate_(v128x16u,n256,32u)                                | 7ff7c83dd340h   | vinflate      | Vector256<uint> vinflate(Vector128<ushort> src, N256 w, uint t)                 | c5 f8 77 66 90 c5 f9 10 02 c4 e2 7d 33 c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 2d 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c1 00 c4 e2 7d 33 c9 c4 e3 7d 19 c0 01 c4 e2 7d 33 c0 c5 fd 11 09 c5 fd 11 41 20 48 8b c1 c5 f8 77 c3 cc cc cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
248       | 67      | intrinsics/dinx               | vinflate_(v256x16u,n512,32u)                                | 7ff7c83dd370h   | vinflate      | Vector512<uint> vinflate(Vector256<ushort> src, N512 w, uint t)                 | c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c1 00 c4 e2 7d 33 c9 c4 e3 7d 19 c0 01 c4 e2 7d 33 c0 c5 fd 11 09 c5 fd 11 41 20 48 8b c1 c5 f8 77 c3 cc cc cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
249       | 311     | intrinsics/dinx               | vcompact_(v128x32u,v128x32u,v128x32u,v128x32u,n128,8u)      | 7ff7c83dd3c0h   | vcompact      | Vector128<byte> vcompact(Vector128<uint> x0, Vector128<uint> x1, Vector128<uint> x2, Vector128<uint> x3, N128 w, byte t)| 48 83 ec 18 c5 f8 77 48 8b 44 24 40 c5 f9 10 02 c4 c1 79 10 08 c7 44 24 14 ff ff 00 00 48 8d 54 24 14 c4 e2 79 58 54 24 14 c5 f9 db c2 c5 f1 db ca c4 e2 79 2b c1 c4 c1 79 10 09 c5 f9 10 10 c7 44 24 10 ff ff 00 00 48 8d 44 24 10 c4 e2 79 58 5c 24 10 c5 f1 db cb c5 e9 db d3 c4 e2 71 2b ca c7 44 24 0c ff 00 00 00 48 8d 44 24 0c c4 e2 79 79 54 24 0c c5 f9 db c2 c5 f1 db ca c5 f9 67 c1 c5 f9 11 01 48 8b c1 48 83 c4 18 c3 cc cc cc cc cc cc cc cc cc cc 00 00 19 04 01 00 04 22 00 00 40 00 00 00 00 00 00 00 d0 2d 47 c8 f7 7f 00 00 50 c5 f8 77 90 c5 fd 10 02 c4 c1 7d 10 08 c7 44 24 04 ff ff 00 00 48 8d 44 24 04 c4 e2 7d 58 54 24 04 c5 fd db c2 c5 f5 db ca c4 e2 7d 2b c1 c4 e3 fd 00 c0 d8 c4 e3 7d 19 c1 00 c4 e3 7d 19 c0 01 c7 04 24 ff 00 00 00 48 8d 04 24 c4 e2 79 79 14 24 c5 f1 db ca c5 f9 db c2 c5 f1 67 c0 c5 f9 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3 cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
250       | 135     | intrinsics/dinx               | vcompact_(v256x32u,v256x32u,n128,8u)                        | 7ff7c83dd470h   | vcompact      | Vector128<byte> vcompact(Vector256<uint> x0, Vector256<uint> x1, N128 w, byte t)| 50 c5 f8 77 90 c5 fd 10 02 c4 c1 7d 10 08 c7 44 24 04 ff ff 00 00 48 8d 44 24 04 c4 e2 7d 58 54 24 04 c5 fd db c2 c5 f5 db ca c4 e2 7d 2b c1 c4 e3 fd 00 c0 d8 c4 e3 7d 19 c1 00 c4 e3 7d 19 c0 01 c7 04 24 ff 00 00 00 48 8d 04 24 c4 e2 79 79 14 24 c5 f1 db ca c5 f9 db c2 c5 f1 67 c0 c5 f9 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3 cc cc cc cc cc cc cc 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 00 00 00
251       | 211     | intrinsics/dinx               | vcompact_(v512x32u~in,n128,8u)                              | 7ff7c83dd500h   | vcompact      | Vector128<byte> vcompact(in Vector512<uint> src, N128 w, byte t)                | 50 c5 f8 77 90 c5 fd 10 02 c5 fd 10 4a 20 c7 44 24 04 ff ff 00 00 48 8d 44 24 04 c4 e2 7d 58 54 24 04 c5 fd db c2 c5 f5 db ca c4 e2 7d 2b c1 c4 e3 fd 00 c0 d8 c4 e3 7d 19 c1 00 c4 e3 7d 19 c0 01 c7 04 24 ff 00 00 00 48 8d 04 24 c4 e2 79 79 14 24 c5 f1 db ca c5 f9 db c2 c5 f1 67 c0 c5 f9 11 01 48 8b c1 c5 f8 77 48 83 c4 08 c3 cc cc cc cc cc cc cc cc 00 00 00 19 01 01 00 01 02 00 00 40 00 00 00 00 00 00 00 90 2e 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e2 7d 31 c8 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c4 e2 7d 31 c0 c5 fd 11 09 c5 fd 11 41 20 48 8b c1 c5 f8 77 c3 cc cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
252       | 67      | intrinsics/dinx               | vinflate_(v128x8u,n512,32u)                                 | 7ff7c83dd590h   | vinflate      | Vector512<uint> vinflate(Vector128<byte> src, N512 w, uint t)                   | c5 f8 77 66 90 c5 f9 10 02 c4 e2 7d 31 c8 c4 e3 f9 16 c0 01 c4 e1 f9 6e c0 c4 e2 7d 31 c0 c5 fd 11 09 c5 fd 11 41 20 48 8b c1 c5 f8 77 c3 cc cc cc cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
253       | 1224    | intrinsics/dinx               | vcompact_(v256x32u,v256x32u,v256x32u,v256x32u,n256,8u)      | 7ff7c83dd5e0h   | vcompact      | Vector256<byte> vcompact(Vector256<uint> x0, Vector256<uint> x1, Vector256<uint> x2, Vector256<uint> x3, N256 w, byte t)| 48 83 ec 18 c5 f8 77 48 8b 44 24 40 c5 fd 10 02 c4 c1 7d 10 08 c7 44 24 14 ff ff 00 00 48 8d 54 24 14 c4 e2 7d 58 54 24 14 c5 fd db c2 c5 f5 db ca c4 e2 7d 2b c1 c4 e3 fd 00 c0 d8 c4 c1 7d 10 09 c5 fd 10 10 c7 44 24 10 ff ff 00 00 48 8d 44 24 10 c4 e2 7d 58 5c 24 10 c5 f5 db cb c5 ed db d3 c4 e2 75 2b ca c4 e3 fd 00 c9 d8 c7 44 24 0c ff 00 00 00 48 8d 44 24 0c c4 e2 7d 79 54 24 0c c5 fd db c2 c5 f5 db ca c5 fd 67 c1 c4 e3 fd 00 c0 d8 c5 fd 11 01 48 8b c1 c5 f8 77 48 83 c4 18 c3 cc cc cc cc cc cc cc cc cc cc 00 19 04 01 00 04 22 00 00 40 00 00 00 02 00 00 00 00 00 00 00 e8 9b 7f e8 5e 5e 00 1b e8 93 7f e8 5e 5e 01 1a e8 8b 7f e8 5e 5e 02 19 e8 83 7f e8 5e 5e 03 18 e8 7b 7f e8 5e 5e 04 17 e8 73 7f e8 5e 5e 05 16 e8 6b 7f e8 5e 5e 08 15 e8 63 7f e8 5e 5e 0b 14 e8 5b 7f e8 5e 5e 0e 13 e8 53 7f e8 5e 5e 11 12 e8 4b 7f e8 5e 5e 12 11 e8 43 7f e8 5e 5e 13 10 e8 3b 7f e8 5e 5e 16 0f e8 33 7f e8 5e 5e 19 0e e8 2b 7f e8 5e 5e 1a 0d e8 23 7f e8 5e 5e 1b 0c e8 1b 7f e8 5e 5e 1e 0b e8 13 7f e8 5e 5e 21 0a e8 0b 7f e8 5e 5e 22 09 e8 03 7f e8 5e 5e 25 08 e8 fb 7e e8 5e 5e 28 07 e8 f3 7e e8 5e 5e 29 06 e8 eb 7e e8 5e 5e 2a 05 e8 e3 7e e8 5e 5e 2d 04 e8 db 7e e8 5e 5e 30 03 e8 d3 7e e8 5e 5e 33 02 e8 cb 7e e8 5e 5e 36 01 e8 c3 7e e8 5e 5e 39 00 40 8c 46 c8 f7 7f 00 00 e8 b3 7e e8 5e 5e 00 13 e8 ab 7e e8 5e 5e 01 12 e8 a3 7e e8 5e 5e 02 11 e8 9b 7e e8 5e 5e 03 10 e8 93 7e e8 5e 5e 04 0f e8 8b 7e e8 5e 5e 05 0e e8 83 7e e8 5e 5e 06 0d e8 7b 7e e8 5e 5e 07 0c e8 73 7e e8 5e 5e 08 0b e8 6b 7e e8 5e 5e 09 0a e8 63 7e e8 5e 5e 0a 09 e8 5b 7e e8 5e 5e 0b 08 e8 53 7e e8 5e 5e 0c 07 e8 4b 7e e8 5e 5e 0d 06 e8 43 7e e8 5e 5e 0e 05 e8 3b 7e e8 5e 5e 12 04 e8 33 7e e8 5e 5e 13 03 e8 2b 7e e8 5e 5e 14 02 e8 23 7e e8 5e 5e 15 01 e8 1b 7e e8 5e 5e 16 00 98 91 46 c8 f7 7f 00 00 e8 0b 7e e8 5e 5e 00 1b e8 03 7e e8 5e 5e 01 1a e8 fb 7d e8 5e 5e 02 19 e8 f3 7d e8 5e 5e 03 18 e8 eb 7d e8 5e 5e 04 17 e8 e3 7d e8 5e 5e 05 16 e8 db 7d e8 5e 5e 08 15 e8 d3 7d e8 5e 5e 0b 14 e8 cb 7d e8 5e 5e 0e 13 e8 c3 7d e8 5e 5e 11 12 e8 bb 7d e8 5e 5e 12 11 e8 b3 7d e8 5e 5e 13 10 e8 ab 7d e8 5e 5e 16 0f e8 a3 7d e8 5e 5e 19 0e e8 9b 7d e8 5e 5e 1a 0d e8 93 7d e8 5e 5e 1b 0c e8 8b 7d e8 5e 5e 1e 0b e8 83 7d e8 5e 5e 21 0a e8 7b 7d e8 5e 5e 22 09 e8 73 7d e8 5e 5e 25 08 e8 6b 7d e8 5e 5e 28 07 e8 63 7d e8 5e 5e 29 06 e8 5b 7d e8 5e 5e 2a 05 e8 53 7d e8 5e 5e 2d 04 e8 4b 7d e8 5e 5e 30 03 e8 43 7d e8 5e 5e 33 02 e8 3b 7d e8 5e 5e 36 01 e8 33 7d e8 5e 5e 39 00 d0 93 46 c8 f7 7f 00 00 e8 23 7d e8 5e 5e 00 00 b8 99 46 c8 f7 7f 00 00 e8 13 7d e8 5e 5e 00 00 18 9a 46 c8 f7 7f 00 00 e8 03 7d e8 5e 5e 00 00 78 9a 46 c8 f7 7f 00 00 e8 f3 7c e8 5e 5e 00 00 d8 9a 46 c8 f7 7f 00 00 e8 e3 7c e8 5e 5e 00 00 38 9b 46 c8 f7 7f 00 00 e8 d3 7c e8 5e 5e 00 00 98 9b 46 c8 f7 7f 00 00 e8 c3 7c e8 5e 5e 00 00 f8 9b 46 c8 f7 7f 00 00 e8 b3 7c e8 5e 5e 00 00 58 9c 46 c8 f7 7f 00 00 e8 a3 7c e8 5e 5e 00 13 e8 9b 7c e8 5e 5e 01 12 e8 93 7c e8 5e 5e 02 11 e8 8b 7c e8 5e 5e 03 10 e8 83 7c e8 5e 5e 04 0f e8 7b 7c e8 5e 5e 05 0e e8 73 7c e8 5e 5e 06 0d e8 6b 7c e8 5e 5e 07 0c e8 63 7c e8 5e 5e 08 0b e8 5b 7c e8 5e 5e 09 0a e8 53 7c e8 5e 5e 0a 09 e8 4b 7c e8 5e 5e 0b 08 e8 43 7c e8 5e 5e 0c 07 e8 3b 7c e8 5e 5e 0d 06 e8 33 7c e8 5e 5e 0e 05 e8 2b 7c e8 5e 5e 12 04 e8 23 7c e8 5e 5e 13 03 e8 1b 7c e8 5e 5e 14 02 e8 13 7c e8 5e 5e 15 01 e8 0b 7c e8 5e 5e 16 00 e8 9c 46 c8 f7 7f 00 00 e8 fb 7b e8 5e 5e 00 00 b8 a2 46 c8 f7 7f 00 00 e8 eb 7b e8 5e 5e 00 00 68 a3 46 c8 f7 7f 00 00 e8 db 7b e8 5e 5e 00 00 e0 a9 46 c8 f7 7f 00 00 e8 cb 7b e8 5e 5e 00 00 90 aa 46 c8 f7 7f 00 00 e8 bb 7b e8 5e 5e 00 00 40 ab 46 c8 f7 7f 00 00 e8 ab 7b e8 5e 5e 00 00 a0 ab 46 c8 f7 7f 00 00 00 00 00 00 00 00 00 00
254       | 899     | intrinsics/dinx               | vinflate_(v256x8u,n1024,32u)                                | 7ff7c83ddab0h   | vinflate      | Vector1024<uint> vinflate(Vector256<byte> src, N1024 w, uint t)                 | c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c1 00 c4 e2 7d 30 c9 c4 e3 7d 19 c0 01 c4 e2 7d 30 c0 c4 e3 7d 19 ca 00 c4 e2 7d 33 d2 c4 e3 7d 19 c9 01 c4 e2 7d 33 c9 c4 e3 7d 19 c3 00 c4 e2 7d 33 db c4 e3 7d 19 c0 01 c4 e2 7d 33 c0 c5 fd 11 11 c5 fd 11 49 20 c5 fd 11 59 40 c5 fd 11 41 60 48 8b c1 c5 f8 77 c3 cc cc cc cc cc cc cc cc cc cc cc 19 00 00 00 40 00 00 00 48 43 47 c8 f7 7f 00 00 0f 1f 44 00 00 b8 00 04 00 00 c3 00 19 00 00 00 40 00 00 00 00 00 00 00 18 47 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 e3 7d 19 c1 00 c4 e2 7d 20 c9 c4 e3 7d 19 c0 01 c4 e2 7d 20 c0 c4 e3 7d 19 ca 00 c4 e2 7d 23 d2 c4 e3 7d 19 c9 01 c4 e2 7d 23 c9 c4 e3 7d 19 c3 00 c4 e2 7d 23 db c4 e3 7d 19 c0 01 c4 e2 7d 23 c0 c5 fd 11 11 c5 fd 11 49 20 c5 fd 11 59 40 c5 fd 11 41 60 48 8b c1 c5 f8 77 c3 cc cc cc cc cc cc cc cc cc cc cc 19 00 00 00 40 00 00 00 70 47 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f8 28 c8 c4 e1 f9 7e c8 c4 e3 f9 16 c2 01 c4 c1 79 10 00 c5 f8 28 c8 c4 c1 f9 7e c8 c4 c3 f9 16 c1 01 c5 f9 6e c0 c4 e3 79 22 c2 01 c4 c3 79 22 c0 02 c4 c3 79 22 c1 03 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc 00 19 00 00 00 40 00 00 00 d0 47 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e2 7d 35 c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 28 48 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c4 e2 7d 25 c0 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 19 00 00 00 40 00 00 00 00 00 00 00 d8 48 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e1 f9 7e c8 c5 fc 28 c8 c4 e3 f9 16 ca 01 c5 fc 28 c8 c4 e3 7d 19 c9 01 c4 c1 f9 7e c8 c4 e3 7d 19 c0 01 c4 c3 f9 16 c1 01 c5 f9 6e c0 c4 e3 79 22 c2 01 c4 c3 79 22 c0 02 c4 c3 79 22 c1 03 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc cc cc 00 00 19 00 00 00 40 00 00 00 60 49 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e1 f9 7e c8 c5 fc 28 c8 c4 e3 f9 16 ca 01 c5 fc 28 c8 c4 e3 7d 19 c9 01 c4 c1 f9 7e c8 c4 e3 7d 19 c0 01 c4 c3 f9 16 c1 01 c5 f9 6e c0 c4 e3 79 22 c2 01 c4 c3 79 22 c0 02 c4 c3 79 22 c1 03 c5 f9 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc cc cc 00 00 19 00 00 00 40 00 00 00 d0 49 47 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e1 f9 7e c8 c5 fc 28 c8 c4 e3 f9 16 ca 01 c4 e3 7d 19 c1 01 c4 c1 f9 7e c9 c4 e3 7d 19 c0 01 c4 c3 f9 16 c2 01 c5 f9 6e c0 c4 e3 79 22 c2 01 c4 c3 79 22 c1 02 c4 c3 79 22 c2 03 c4 c1 7d 10 08 c5 fc 28 d1 c4 e1 f9 7e d0 c5 fc 28 d1 c4 e3 f9 16 d2 01 c4 e3 7d 19 ca 01 c4 c1 f9 7e d0 c4 e3 7d 19 c9 01 c4 c3 f9 16 c9 01 c5 f9 6e c8 c4 e3 71 22 ca 01 c4 c3 71 22 c8 02 c4 c3 71 22 c9 03 c5 ec 57 d2 c4 e3 6d 38 c0 00 c4 e3 7d 38 c1 01 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc cc cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
