Sequence  | Length  | Host                          | OpId                                                        | Address         | OpName        | OpSig                                                                           | Data| Operation
0         | 67      | intrinsics/dinx               | vbitblend_(v128x8u,v128x8u,v128x8u)                         | 7ff7c83e79c0h   | vbitblend     | Vector128<byte> vbitblend(Vector128<byte> x, Vector128<byte> y, Vector128<byte> mask)| c5 f8 77 66 90 c5 f9 10 02 c5 f8 28 c8 c4 c1 79 10 10 c5 f1 ef ca c4 c1 79 10 11 c5 f1 db ca c5 f9 ef c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
748       | 51      | intrinsics/dinx               | vxnor_(v128x8u,v128x8u)                                     | 7ff7c83f6fc0h   | vxnor         | Vector128<byte> vxnor(Vector128<byte> x, Vector128<byte> y)                     | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 ef 00 c5 f9 74 c8 c5 f9 ef c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
749       | 51      | intrinsics/dinx               | vxnor_(v128x16i,v128x16i)                                   | 7ff7c83f7000h   | vxnor         | Vector128<short> vxnor(Vector128<short> x, Vector128<short> y)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 ef 00 c5 f9 75 c8 c5 f9 ef c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
750       | 51      | intrinsics/dinx               | vxnor_(v128x16u,v128x16u)                                   | 7ff7c83f7040h   | vxnor         | Vector128<ushort> vxnor(Vector128<ushort> x, Vector128<ushort> y)               | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 ef 00 c5 f9 75 c8 c5 f9 ef c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
751       | 51      | intrinsics/dinx               | vxnor_(v128x32i,v128x32i)                                   | 7ff7c83f7080h   | vxnor         | Vector128<int> vxnor(Vector128<int> x, Vector128<int> y)                        | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 ef 00 c5 f9 76 c8 c5 f9 ef c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
752       | 51      | intrinsics/dinx               | vxnor_(v128x32u,v128x32u)                                   | 7ff7c83f70c0h   | vxnor         | Vector128<uint> vxnor(Vector128<uint> x, Vector128<uint> y)                     | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 ef 00 c5 f9 76 c8 c5 f9 ef c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
753       | 51      | intrinsics/dinx               | vxnor_(v128x64i,v128x64i)                                   | 7ff7c83f7100h   | vxnor         | Vector128<long> vxnor(Vector128<long> x, Vector128<long> y)                     | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 ef 00 c5 f9 76 c8 c5 f9 ef c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
754       | 51      | intrinsics/dinx               | vxnor_(v128x64u,v128x64u)                                   | 7ff7c83f7140h   | vxnor         | Vector128<ulong> vxnor(Vector128<ulong> x, Vector128<ulong> y)                  | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 ef 00 c5 f9 76 c8 c5 f9 ef c1 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
755       | 55      | intrinsics/dinx               | vxnor_(v256x8u,v256x8u)                                     | 7ff7c83f7180h   | vxnor         | Vector256<byte> vxnor(Vector256<byte> x, Vector256<byte> y)                     | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d ef 00 c5 fd 74 c8 c5 fd ef c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
756       | 55      | intrinsics/dinx               | vxnor_(v256x16i,v256x16i)                                   | 7ff7c83f71c0h   | vxnor         | Vector256<short> vxnor(Vector256<short> x, Vector256<short> y)                  | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d ef 00 c5 fd 75 c8 c5 fd ef c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
757       | 55      | intrinsics/dinx               | vxnor_(v256x8i,v256x8i)                                     | 7ff7c83f7200h   | vxnor         | Vector256<sbyte> vxnor(Vector256<sbyte> x, Vector256<sbyte> y)                  | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d ef 00 c5 fd 74 c8 c5 fd ef c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
758       | 55      | intrinsics/dinx               | vxnor_(v256x16u,v256x16u)                                   | 7ff7c83f7240h   | vxnor         | Vector256<ushort> vxnor(Vector256<ushort> x, Vector256<ushort> y)               | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d ef 00 c5 fd 75 c8 c5 fd ef c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
759       | 55      | intrinsics/dinx               | vxnor_(v256x32i,v256x32i)                                   | 7ff7c83f7280h   | vxnor         | Vector256<int> vxnor(Vector256<int> x, Vector256<int> y)                        | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d ef 00 c5 fd 76 c8 c5 fd ef c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
760       | 55      | intrinsics/dinx               | vxnor_(v256x32u,v256x32u)                                   | 7ff7c83f72c0h   | vxnor         | Vector256<uint> vxnor(Vector256<uint> x, Vector256<uint> y)                     | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d ef 00 c5 fd 76 c8 c5 fd ef c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
761       | 55      | intrinsics/dinx               | vxnor_(v256x64i,v256x64i)                                   | 7ff7c83f7300h   | vxnor         | Vector256<long> vxnor(Vector256<long> x, Vector256<long> y)                     | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d ef 00 c4 e2 7d 29 c8 c5 fd ef c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
762       | 55      | intrinsics/dinx               | vxnor_(v256x64u,v256x64u)                                   | 7ff7c83f7340h   | vxnor         | Vector256<ulong> vxnor(Vector256<ulong> x, Vector256<ulong> y)                  | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d ef 00 c4 e2 7d 29 c8 c5 fd ef c1 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
763       | 39      | intrinsics/dinx               | vxor_(v128x8i,v128x8i)                                      | 7ff7c83f7380h   | vxor          | Vector128<sbyte> vxor(Vector128<sbyte> x, Vector128<sbyte> y)                   | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 ef 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
764       | 387     | intrinsics/dinx               | vswaphl_(v128x8i)                                           | 7ff7c83f73b0h   | vswaphl       | Vector128<sbyte> vswaphl(Vector128<sbyte> x)                                    | c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 a8 21 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 60 22 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 d0 22 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 28 23 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 80 23 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 38 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 a8 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
765       | 339     | intrinsics/dinx               | vswaphl_(v128x8u)                                           | 7ff7c83f73e0h   | vswaphl       | Vector128<byte> vswaphl(Vector128<byte> x)                                      | c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 60 22 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 d0 22 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 28 23 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 80 23 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 38 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 a8 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
766       | 291     | intrinsics/dinx               | vswaphl_(v128x16i)                                          | 7ff7c83f7410h   | vswaphl       | Vector128<short> vswaphl(Vector128<short> x)                                    | c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 d0 22 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 28 23 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 80 23 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 38 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 a8 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
767       | 243     | intrinsics/dinx               | vswaphl_(v128x32i)                                          | 7ff7c83f7440h   | vswaphl       | Vector128<int> vswaphl(Vector128<int> x)                                        | c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 28 23 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 80 23 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 38 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 a8 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
768       | 195     | intrinsics/dinx               | vswaphl_(v128x32u)                                          | 7ff7c83f7470h   | vswaphl       | Vector128<uint> vswaphl(Vector128<uint> x)                                      | c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 80 23 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 38 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 a8 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
769       | 147     | intrinsics/dinx               | vswaphl_(v128x64u)                                          | 7ff7c83f74a0h   | vswaphl       | Vector128<ulong> vswaphl(Vector128<ulong> x)                                    | c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 38 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 a8 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
770       | 99      | intrinsics/dinx               | vswaphl_(v128x64i)                                          | 7ff7c83f74d0h   | vswaphl       | Vector128<long> vswaphl(Vector128<long> x)                                      | c5 f8 77 66 90 c5 f9 10 02 c5 f9 70 c0 4e c5 f9 11 01 48 8b c1 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 a8 24 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
771       | 51      | intrinsics/dinx               | vswaphl_(v256x8u)                                           | 7ff7c83f7500h   | vswaphl       | Vector256<byte> vswaphl(Vector256<byte> x)                                      | c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
772       | 51      | intrinsics/dinx               | vswaphl_(v256x8i)                                           | 7ff7c83f7540h   | vswaphl       | Vector256<sbyte> vswaphl(Vector256<sbyte> x)                                    | c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
773       | 51      | intrinsics/dinx               | vswaphl_(v256x16i)                                          | 7ff7c83f7580h   | vswaphl       | Vector256<short> vswaphl(Vector256<short> x)                                    | c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
774       | 51      | intrinsics/dinx               | vswaphl_(v256x16u)                                          | 7ff7c83f75c0h   | vswaphl       | Vector256<ushort> vswaphl(Vector256<ushort> x)                                  | c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
775       | 51      | intrinsics/dinx               | vswaphl_(v256x32i)                                          | 7ff7c83f7600h   | vswaphl       | Vector256<int> vswaphl(Vector256<int> x)                                        | c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
776       | 51      | intrinsics/dinx               | vswaphl_(v256x32u)                                          | 7ff7c83f7640h   | vswaphl       | Vector256<uint> vswaphl(Vector256<uint> x)                                      | c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
777       | 51      | intrinsics/dinx               | vswaphl_(v256x64i)                                          | 7ff7c83f7680h   | vswaphl       | Vector256<long> vswaphl(Vector256<long> x)                                      | c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
778       | 51      | intrinsics/dinx               | vswaphl_(v256x64u)                                          | 7ff7c83f76c0h   | vswaphl       | Vector256<ulong> vswaphl(Vector256<ulong> x)                                    | c5 f8 77 66 90 c5 fd 10 02 c5 fc 28 c8 c4 e3 75 46 c0 03 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc cc 00 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
779       | 35      | intrinsics/dinx               | vtakemask_(v128x8u)                                         | 7ff7c83f7700h   | vtakemask     | ushort vtakemask(Vector128<byte> src)                                           | c5 f8 77 66 90 c5 f9 10 01 c5 f9 d7 c0 0f b7 c0 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
780       | 35      | intrinsics/dinx               | vtakemask_(v128x16u)                                        | 7ff7c83f7730h   | vtakemask     | ushort vtakemask(Vector128<ushort> src)                                         | c5 f8 77 66 90 c5 f9 10 01 c5 f9 d7 c0 0f b7 c0 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
781       | 35      | intrinsics/dinx               | vtakemask_(v128x32u)                                        | 7ff7c83f7760h   | vtakemask     | ushort vtakemask(Vector128<uint> src)                                           | c5 f8 77 66 90 c5 f9 10 01 c5 f9 d7 c0 0f b7 c0 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
782       | 35      | intrinsics/dinx               | vtakemask_(v128x64u)                                        | 7ff7c83f7790h   | vtakemask     | ushort vtakemask(Vector128<ulong> src)                                          | c5 f8 77 66 90 c5 f9 10 01 c5 f9 d7 c0 0f b7 c0 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
783       | 35      | intrinsics/dinx               | vtakemask_(v256x8u)                                         | 7ff7c83f77c0h   | vtakemask     | uint vtakemask(Vector256<byte> src)                                             | c5 f8 77 66 90 c5 fd 10 01 c5 fd d7 c0 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
784       | 35      | intrinsics/dinx               | vtakemask_(v256x16u)                                        | 7ff7c83f77f0h   | vtakemask     | uint vtakemask(Vector256<ushort> src)                                           | c5 f8 77 66 90 c5 fd 10 01 c5 fd d7 c0 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
785       | 35      | intrinsics/dinx               | vtakemask_(v256x32u)                                        | 7ff7c83f7820h   | vtakemask     | uint vtakemask(Vector256<uint> src)                                             | c5 f8 77 66 90 c5 fd 10 01 c5 fd d7 c0 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
786       | 35      | intrinsics/dinx               | vtakemask_(v256x64u)                                        | 7ff7c83f7850h   | vtakemask     | uint vtakemask(Vector256<ulong> src)                                            | c5 f8 77 66 90 c5 fd 10 01 c5 fd d7 c0 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
787       | 39      | intrinsics/dinx               | vand_(v128x8u,v128x8u)                                      | 7ff7c83f7880h   | vand          | Vector128<byte> vand(Vector128<byte> x, Vector128<byte> y)                      | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 db 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
788       | 39      | intrinsics/dinx               | vand_(v128x16i,v128x16i)                                    | 7ff7c83f78b0h   | vand          | Vector128<short> vand(Vector128<short> x, Vector128<short> y)                   | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 db 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
789       | 39      | intrinsics/dinx               | vand_(v128x8i,v128x8i)                                      | 7ff7c83f78e0h   | vand          | Vector128<sbyte> vand(Vector128<sbyte> x, Vector128<sbyte> y)                   | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 db 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
790       | 39      | intrinsics/dinx               | vand_(v128x16u,v128x16u)                                    | 7ff7c83f7910h   | vand          | Vector128<ushort> vand(Vector128<ushort> x, Vector128<ushort> y)                | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 db 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
791       | 39      | intrinsics/dinx               | vand_(v128x32i,v128x32i)                                    | 7ff7c83f7940h   | vand          | Vector128<int> vand(Vector128<int> x, Vector128<int> y)                         | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 db 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
792       | 39      | intrinsics/dinx               | vand_(v128x32u,v128x32u)                                    | 7ff7c83f7970h   | vand          | Vector128<uint> vand(Vector128<uint> x, Vector128<uint> y)                      | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 db 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
793       | 39      | intrinsics/dinx               | vand_(v128x64i,v128x64i)                                    | 7ff7c83f79a0h   | vand          | Vector128<long> vand(Vector128<long> x, Vector128<long> y)                      | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 db 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
794       | 39      | intrinsics/dinx               | vand_(v128x64u,v128x64u)                                    | 7ff7c83f79d0h   | vand          | Vector128<ulong> vand(Vector128<ulong> x, Vector128<ulong> y)                   | c5 f8 77 66 90 c5 f9 10 02 c4 c1 79 db 00 c5 f9 11 01 48 8b c1 c3 cc cc 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
795       | 435     | intrinsics/dinx               | vand_(v256x8u,v256x8u)                                      | 7ff7c83f7a00h   | vand          | Vector256<byte> vand(Vector256<byte> x, Vector256<byte> y)                      | c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d db 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 90 2d 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d db 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 e8 2d 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d db 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 40 2e 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d db 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 98 2e 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d db 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 f0 2e 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d db 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 48 2f 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d db 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 a0 2f 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 fd 10 02 c4 c1 7d db 00 c5 fd 11 01 48 8b c1 c5 f8 77 c3 cc cc 00 19 00 00 00 40 00 00 00 00 00 00 00 f8 2f 49 c8 f7 7f 00 00 c5 f8 77 66 90 c5 f9 10 02 c5 f9 74 c8 c5 f9 ef c1 c4 c1 79 eb 00 c5 f9 11 01 48 8b c1 c3 cc cc cc cc 00 00 19 00 00 00 40 00 00 00 00 00 00 00 00 00 00
